snapshot_date,id,name,year,artists,categories,designers,expansion,expands,expansions,families,implementations,max_players,mechanics,min_age,min_players,playing_time,publishers,ranks,rating_average,rating_average_weight,rating_bayes_average,rating_median,rating_num_weights,rating_stddev,users_commented,users_owned,users_rated,users_trading,users_wanting,users_wishing
2018-04-28,5406,New England,2003,Franz Vohwinkel,Economic | Territory Building,Alan R. Moon | Aaron Weissblum,False,[],[],Country: USA,,4,Auction/Bidding | Tile Placement,12,3,90,Goldsieber Spiele | Überplay,"[Thing (id: 1), Thing (id: 5497)]",6.49962,2.4681,6.11539,0.0,188,1.23545,,2200,1780,247,,
2018-04-28,4249,Trias,2002,Doris Matthäus | Christophe Swal,Animals | Prehistoric,Ralf Lehmkuhl,False,[],[],Animals: Dinosaurs,,5,Action Point Allowance System | Area Control / Area Influence | Modular Board,12,2,45,Gecko Games | Rio Grande Games | Tilsit,"[Thing (id: 1), Thing (id: 5497)]",6.4737,2.3925,6.12045,0.0,214,1.24938,,2315,1916,179,,
2018-04-28,111,Rheinländer,1999,William O'Connor | Franz Vohwinkel,Abstract Strategy | Medieval | Territory Building,Reiner Knizia,False,[],[],Admin: Better Description Needed! | Country: Germany,,5,Area Control / Area Influence | Area Enclosure | Hand Management,12,3,90,Face2Face Games | Hasbro | Parker Brothers,"[Thing (id: 1), Thing (id: 5497)]",6.60742,2.4211,6.12257,0.0,171,1.19724,,1938,1427,187,,
2018-04-28,173200,Epic Spell Wars of the Battle Wizards: Rumble at Castle Tentakill,2015,Nick Edwards,Fantasy | Fighting | Humor,Rob Heinsoo | Cory Jones,False,[],[Thing (id: 200020)],Epic Spell Wars of the Battle Wizards,,6,Dice Rolling | Hand Management | Take That,15,2,45,Cryptozoic Entertainment | Hobby World,[Thing (id: 1)],6.86384,1.6,6.16097,0.0,30,1.56648,,3440,1291,64,,
2018-04-28,25261,Tannhäuser,2007,Didier Poli,Fantasy | Fighting | Horror | Miniatures | Science Fiction | Spies/Secret Agents | Wargame | World War I,William Grosselin | Didier Poli,False,[],"[Thing (id: 70221), Thing (id: 83166), Thing (id: 40082), Thing (id: 124610), Thing (id: 32006), Thing (id: 127715), Thing (id: 31210), Thing (id: 85089), Thing (id: 90035), Thing (id: 99403), Thing (id: 107754), Thing (id: 31939), Thing (id: 107934), Thing (id: 101783), Thing (id: 106670), Thing (id: 87589), Thing (id: 106666), Thing (id: 31258), Thing (id: 31209), Thing (id: 78670), Thing (id: 99402), Thing (id: 78672), Thing (id: 31259), Thing (id: 29659)]",Tannhäuser,,10,Dice Rolling | Point to Point Movement | Variable Player Powers,13,2,120,Edge Entertainment | Fantasy Flight Games | Giochi Uniti | Heidelberger Spieleverlag | Nexus | Pro Ludo | Take On You,"[Thing (id: 1), Thing (id: 5496)]",6.47846,2.7297,6.13354,0.0,296,1.66633,,5328,2883,339,,
2018-04-28,23817,1861: The Railways of the Russian Empire,2006,Mike Hutton,Economic | Trains,Ian D. Wilson,False,[],[Thing (id: 184524)],18xx | Admin: Better Description Needed! | Country: Russia,,6,Auction/Bidding | Route/Network Building | Stock Holding | Tile Placement,12,3,360,All-Aboard Games | JKLM Games | Lookout Games | Z-Man Games,"[Thing (id: 1), Thing (id: 5497)]",7.54336,4.2254,6.10368,0.0,71,1.53322,,625,450,12,,
2018-04-28,23730,Gheos,2006,Allan Bednar | Josh Cappel,Civilization | Mythology,René Wiersma,False,[],[],Mensa Select,,4,Area Control / Area Influence | Commodity Speculation | Stock Holding | Tile Placement,10,2,60,Z-Man Games,"[Thing (id: 1), Thing (id: 5497)]",6.531,2.4462,6.11816,0.0,260,1.25188,,1676,1655,135,,
2018-04-28,25951,The Castle of the Devil,2010,Eckhard Freytag | Lukas Zach,Bluffing | Card Game | Deduction | Fighting | Party Game,Michael Palm | Lukas Zach,False,[],[],Werewolf / Mafia | WolfParty Collection,Die Kutschfahrt zur Teufelsburg,8,Hand Management | Role Playing | Variable Player Powers,10,4,40,"dV Giochi | Arclight | Edge Entertainment | Swan Panasia Co., Ltd.","[Thing (id: 1), Thing (id: 5497), Thing (id: 5498)]",6.46547,1.9737,6.11326,0.0,228,1.50399,,3051,2088,144,,
2018-04-28,632,Cloud 9,1999,John Kovalic | Albert Lemant | Cathleen Quinn-Kinney,Aviation / Flight | Bluffing | Card Game,Aaron Weissblum,False,[],[],3D Games | Balloons,Celestia,6,Betting/Wagering | Press Your Luck,8,3,30,F.X. Schmid | Out of the Box Publishing,"[Thing (id: 1), Thing (id: 5499)]",6.47614,1.1512,6.1306,0.0,258,1.21889,,2090,2116,74,,
2018-04-28,16,MarraCash,1996,Marion Pott | Oliver Vogel,Economic,Stefan Dorra,False,[],[],Admin: Better Description Needed! | Cities: Marrakech | Country: Morocco,,4,Auction/Bidding,12,3,60,KOSMOS,"[Thing (id: 1), Thing (id: 5497)]",6.83474,2.1522,6.10946,0.0,92,1.18337,,1065,893,50,,
